model,gamma_c,full_chi2,full_p,full_alpha,low_z_chi2,low_z_p,low_z_alpha,high_z_conditional_chi2,high_z_delta_chi2_vs_LCDM,optimisation_success
GENERAL_FREE,3.6,3116.817121247608,0.5920057399721812,-0.5,2131.2233033630228,0.7044151910645952,-0.5,1363.0386154008033,413.07225125826494,True
GENERAL_FREE,3.7,3132.591006190822,0.6318988181150136,-0.5,2135.5294564624032,0.7565731877428602,-0.5,1466.403704915108,516.4373407725695,True
GENERAL_FREE,3.8,3149.920831306092,0.6710625832277053,-0.5,2140.146591546305,0.8079438083132265,-0.5,1580.1999286326766,630.2335644901382,True
GENERAL_FREE,3.9,3168.7811992727757,0.7095232534967196,-0.5,2145.0757577639606,0.8585497367471759,-0.5,1704.1342851498935,754.1679210073551,True
GENERAL_FREE,4.0,3189.145741714358,0.7473054633337137,-0.5,2150.3175695591303,0.9084125066151645,-0.5,1837.9105672860526,887.9442031435142,True
GENERAL_FREE,4.25,3246.458312552049,0.8389435936645719,-0.5,2164.7904263668242,1.0299521459242718,-0.5,2213.4663250393405,1263.4999608968021,True
GENERAL_FREE,4.5,3312.5632281061244,0.9268191320550444,-0.5,2181.2114980135725,1.1472751992978207,-0.5,2644.0835220289673,1694.117157886429,True
GENERAL_FREE,4.75,3387.012508110358,1.0112266978822781,-0.5,2199.5629259732773,1.2606534613595113,-0.5,3125.274442603983,2175.308078461445,True
GENERAL_FREE,5.0,3469.357347272806,1.092427067636451,-0.5,2219.8174619848187,1.3703330971629308,-0.5,3652.7244365671104,2702.7580724245718,True
GENERAL_FREE,5.25,3559.1549183432858,1.170652383955205,-0.5,2241.9404086481622,1.4765378392551414,-0.5,4222.330584480488,3272.3642203379495,True
GENERAL_FREE,5.5,3655.973073438376,1.2461099996146177,-0.5,2265.89123737873,1.5794715962016377,-0.5,4830.22222662532,3880.2558624827816,True
GENERAL_FREE,5.75,3759.393507924301,1.3189860955997155,-0.5,2291.624934194923,1.6793206605267044,-0.5,5472.769121563639,4522.8027574211,True
GENERAL_FREE,6.0,3869.013798902196,1.389448490647995,-0.5,2319.09311663557,1.7762559670958644,-0.5,6146.585887881582,5196.619523739043,True
GENERAL_FREE,6.25,3984.448620832405,1.457648788255842,-0.5,2348.244958621053,1.8704345604534351,-0.5,6848.525140635956,5898.558776493417,True
GENERAL_FREE,6.5,4105.33036147444,1.5237247477531566,-0.5,2379.027954377154,1.9620009009414376,-0.5,7575.666861706684,6625.700497564146,True
GENERAL_FREE,6.75,4231.309303406871,1.58780168154668,-0.5,2411.388547624294,2.0510884063665853,-0.5,8325.311237326114,7375.344873183575,True
GENERAL_FREE,7.0,4362.053493863645,1.6499938389779876,-0.5,2445.2726480403335,2.13782063852503,-0.5,9094.968236088145,8145.001871945607,True
GENERAL_FREE,7.25,4497.2483942155795,1.710406087092313,-0.5,2480.62605345345,2.2223119356606578,-0.5,9882.339982961661,8932.373618819123,True
GENERAL_FREE,7.5,4636.596377111464,1.7691344561016444,-0.5,2517.3947932291826,2.304668654145882,-0.5,10685.313925952549,9735.347561810011,True
GENERAL_FREE,7.75,4779.816121911665,1.8262674004302355,-0.5,2555.525405804271,2.38498954759385,-0.5,11501.944246679603,10551.977882537065,True
GENERAL_FREE,8.0,4926.641946037367,1.881886566580726,-0.5,2594.9651612152816,2.4633667408793927,-0.5,12330.444585231113,11380.478221088575,True
