scenario,galaxy,group,matched_candidate,N_points,delta_profile_objective_plamb_minus_rar,delta_data_objective_plamb_minus_rar,rar_profile_objective,plamb_profile_objective,rar_distance_pull,plamb_distance_pull,rar_disk_ml_multiplier,plamb_disk_ml_multiplier,rar_bulge_ml_multiplier,plamb_bulge_ml_multiplier,rar_delta_inc_deg,plamb_delta_inc_deg,rar_gas_multiplier,plamb_gas_multiplier,both_optimisers_succeeded
combined_conventional,NGC4559,matched_control,NGC2903,32,0.005401645049674997,-0.006684152766589513,4.483159941056421,4.488561586106096,-0.8598752423162261,-0.8643828865906151,0.8838656013600864,0.8775029200660086,0.8838656013600864,0.8775029200660086,-0.045528826643296876,-0.04567332191581562,0.9460335014235994,0.9472686763627785,True
combined_conventional,NGC5033,matched_control,NGC5985,22,1.3710925728483438,1.33459359395588,23.533949766098342,24.905042338946686,0.10543957337946312,0.10756880377408276,1.088796382669555,1.0770950967899073,0.6920979035999812,0.6826296462500497,0.007274761730314571,0.007413962784772949,0.9560696786522479,0.9554504754717381,True
combined_conventional,NGC5985,candidate,NGC5985,33,0.07020482182679189,-0.11772117400920479,71.26902105633025,71.33922587815704,0.07750876940822252,0.008138997250053976,1.5757425052662537,1.6109534592267492,5.808730073628725,5.869908245566007,0.03330112540133395,0.0035115514947810294,0.8864399961554613,0.8915993884391306,True
combined_conventional,NGC6195,matched_control,UGC09133,23,-0.2337512734227829,-0.1675798239321793,21.07060741770834,20.83685614428556,-0.36926173800507117,-0.36335588395517215,0.47130697648610237,0.4752225523142755,1.2199239982223447,1.2173680293834372,-2.4082242059469183,-2.3692707191805193,1.0058780767075586,1.004425784835215,True
combined_conventional,NGC6674,matched_control,UGC02487,15,-0.7352043212297836,-0.2720386729343858,27.431393550884902,26.69618922965512,-0.7090262362791033,-0.8184149613301573,1.8410079700219995,1.9863195064210286,2.9231948511440202,2.531842010302604,-4.337004323540593,-4.868789276431535,0.93934849295155,0.9487887251893145,True
combined_conventional,UGC02487,candidate,UGC02487,17,0.05463265141087703,0.07242100044642008,14.34235206942301,14.396984720833887,0.03198825846709428,0.014394773998019538,1.7174032904132461,1.7501404414215733,1.7152339366789793,1.6772696083087824,0.33613648521995293,0.15236179569986888,0.9771127218841075,0.978529398733123,True
combined_conventional,UGC02885,matched_control,UGC02487,19,-0.2671775041627438,-0.2336337333306524,13.040890705208442,12.773713201045698,0.21393399489707765,0.216074047968542,0.845322602235732,0.8414892873573246,1.6807813722367888,1.665652934880496,0.7403779256565427,0.7473231095205402,1.0303526453054295,1.0271913740509844,True
combined_conventional,UGC02916,matched_control,UGC06787,43,0.08505495316335043,-0.06479383682200535,55.83853597243944,55.92359092560279,-0.7878484965272851,-0.8029519999147631,2.2381583783412737,2.286458543260126,1.1057167281991944,1.1052308240490256,-5.083581257854843,-5.160863451222692,0.8216358744090624,0.8256566874519662,True
combined_conventional,UGC03205,matched_control,NGC5985,48,-0.07685982228331767,-0.06639929877091788,56.635390613253094,56.558530790969776,-0.15698204110804934,-0.18443916449054618,1.1324377882639423,1.1385493358139254,1.7598019688646422,1.754070174179851,-0.2490641792970919,-0.2923442622721752,0.9359106046813883,0.9403358584625717,True
combined_conventional,UGC03546,matched_control,UGC03580,30,0.05053126426966337,-0.010225081071428832,3.9256649307672236,3.976196195036887,0.033838565356183806,0.04016936187963219,0.9236902767936209,0.9168310081395245,0.7032265321172245,0.6899193732487582,0.10940757811320308,0.12975899087818266,1.007902283204927,1.0071281741298703,True
combined_conventional,UGC03580,candidate,UGC03580,47,-0.13114172243986388,-0.015814533668338626,21.786779180522373,21.65563745808251,0.049274021390650055,0.04942219702180103,0.5328965443980626,0.5292251727552629,0.291868769716462,0.2943667530858476,0.07413138661240783,0.07434353095201297,1.2406133227111582,1.2328501681127688,True
combined_conventional,UGC05253,matched_control,UGC06787,73,0.2961341784170841,0.27586599242917487,39.730862897345894,40.02699707576298,-0.07938586329469213,-0.08455446866679589,1.13399654007117,1.1438073260401986,1.133658416370902,1.1258200098635587,-0.31702488198737877,-0.3378215494576573,0.9463281657578089,0.9410846504238969,True
combined_conventional,UGC06786,matched_control,UGC09133,45,-0.02681347375857257,0.2336532958781259,21.126418512182013,21.09960503842344,2.5829428704249517,2.5425663556134537,0.5911372990213986,0.5982749602780033,0.5695022316854907,0.5772240572976379,0.6368044651405386,0.6404552327046031,1.137137275796807,1.1252754297387175,True
combined_conventional,UGC06787,candidate,UGC06787,71,-1.141023937420215,-0.5561978834373207,79.03109373422738,77.89006979680717,3.018475755286301,2.9831121177504407,0.5706149129818376,0.5841110890367547,0.4131022954256476,0.416204588437196,0.544084167227255,0.5472340778940911,1.411575877014665,1.3815457531029287,True
