window_index,tag,bcut_deg,z_center,N,ess,baseline_snr,baseline_amp,weighted_snr,weighted_amp,weighted_l_deg,weighted_b_deg,weighted_priority,amp_ratio_weighted_vs_baseline,direction_sep_weighted_vs_baseline_deg
54,z2p20_2p30,15.0,2.250000000000001,19688,19623.923746761095,1.422035043242957,0.0005562846763114717,1.5664506958951743,0.0006127197742054692,35.432660214664054,-16.981532804186855,0.013242623197206519,1.1014500314267128,3.20747997534262
55,z2p30_2p40,15.0,2.3500000000000005,19492,19426.191847320984,1.114371887254351,0.0004234611545857568,1.2715655286927656,0.0004892423908241431,16.047238571092826,-19.48842412414929,0.010542902970048548,1.1553418431089284,3.2105487405075412
56,z2p40_2p50,15.0,2.45,17918,17879.500517110202,1.2497453502050069,0.0004642318948102758,1.1562672469490924,0.0004317638907997914,58.00542055732389,34.40605680378272,0.009400429693807274,0.9300608071667424,2.6917465690496316
57,z0p10_0p30,20.0,0.2,11419,11403.873277308783,2.093882658881345,0.0017548441421972175,0.7888069508804064,0.0006495721511780332,172.77578858640567,13.869280096866047,0.0003788577958242275,0.37015945493866614,5.742762300628015
58,z0p30_0p40,20.0,0.35,16209,16196.603447652189,2.109265500904922,0.0008653857481973221,1.6701553047267808,0.0006845880616980098,207.76072462444782,-26.376990664404634,0.005488422602955759,0.7910785024182216,1.1660846226440105
59,z0p30_0p50,20.0,0.4,34623,34581.659779160465,2.40790152941879,0.0014385297397017246,0.9823745882901529,0.0005824241393669688,251.86908834168094,-11.169591919108733,0.004150784681093923,0.40487459055781005,3.42410465790123
60,z0p40_0p50,20.0,0.45,18414,18383.32111453263,1.8986490037808492,0.000818893368635171,1.9578921835286833,0.0008468937621900149,342.4949121889277,-8.631176141240624,0.009894706839056465,1.0341929665415552,0.7249480268960309
61,z0p50_0p60,20.0,0.55,20592,20484.844571345402,2.5193733164937844,0.0009544881625177659,1.5655899055178233,0.0005995050954866359,263.60676783641964,15.268607147195507,0.010047960803670816,0.6280906553154632,2.4713159648636265
62,z0p50_0p75,20.0,0.625,53893,53834.907364393934,1.3138970381624295,0.0008200176831267934,0.5440643701584619,0.0003407504173898958,239.05435903045412,-9.277537957049155,0.003928379172290942,0.4155403284604632,1.044233234766168
63,z0p60_0p70,20.0,0.6499999999999999,20829,20659.37797829468,2.946882456536653,0.0008373092016924171,2.9488865649667884,0.0008475624179150739,356.9832193220189,-70.92777986006429,0.021973209711970258,1.012245435977453,2.7380311430657893
64,z0p70_0p80,20.0,0.75,25774,25593.57922518727,2.268013681251238,0.0006616748105443501,2.475557347048297,0.0007215952979321365,285.95219788469836,47.440725238209616,0.020341156878570344,1.090558815951435,2.735772042222945
65,z0p75_1p00,20.0,0.875,73258,73185.19333722662,1.4502231733280688,0.0007630594226419299,1.487883808792196,0.0007835552352625914,282.4126592486235,-9.77795856879206,0.013208458373781786,1.026860047871107,1.66632803354042
66,z0p80_0p90,20.0,0.8499999999999999,28027,27982.56619671813,2.775107559708338,0.0009645403074353559,2.941525481166992,0.0010238813258602174,264.134998124797,-4.26279779862654,0.02579052324193465,1.061522590572337,0.42314851106838736
67,z0p90_1p00,20.0,0.95,31929,31660.16560059304,2.3289840321274946,0.0005277647818691956,2.1426342516799286,0.00048690250623512846,207.3989748725425,70.16361036436425,0.019602059945854147,0.9225748344000061,3.478913741200025
