frame,offset_mode,prior_config,model,offset_label,offset_type,prior_sigma_mag,offset_mag,pull_sigma
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,DES_Dovekie_raw:IDSURVEY_150,survey,0.025,-0.019532764416947797,-0.7813105766779118
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,DES_Dovekie_raw:IDSURVEY_64,survey,0.025,-0.01222933759548876,-0.4891735038195504
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,DES_Dovekie_raw:IDSURVEY_65,survey,0.025,-0.019147917326123795,-0.7659166930449518
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_1,survey,0.025,-0.11606939069201055,-4.642775627680422
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_10,survey,0.025,-0.10173581381918455,-4.069432552767382
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_15,survey,0.025,-0.08733920109617858,-3.493568043847143
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_150,survey,0.025,-0.13625097013671755,-5.450038805468702
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_4,survey,0.025,-0.06326477062224752,-2.5305908248899005
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_5,survey,0.025,-0.08522803435722248,-3.4091213742888993
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_50,survey,0.025,-0.04341566434877888,-1.736626573951155
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_51,survey,0.025,-0.06234787886342961,-2.4939151545371843
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_56,survey,0.025,-0.042163908694527893,-1.6865563477811156
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_57,survey,0.025,-0.08703315423497249,-3.4813261693988995
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_63,survey,0.025,-0.05307617657310187,-2.1230470629240745
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_64,survey,0.025,-0.09729426888251903,-3.891770755300761
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_65,survey,0.025,-0.06846963836737138,-2.738785534694855
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,Union3p1_UNITY1p8,dataset,0.05,-0.014713177083495286,-0.2942635416699057
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,DES_Dovekie_raw:IDSURVEY_OTHER,survey,0.025,-0.024083148866727612,-0.9633259546691044
HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.025,-0.10154931410612193,-4.061972564244877
HD,dataset+idsurvey,budget_025mmag_ds050,LCDM_Om03_H0fixed675,DES_Dovekie_raw:IDSURVEY_10,survey,0.025,-0.08990440403356155,-3.596176161342462
HD,dataset+idsurvey,budget_025mmag_ds050,LCDM_Om03_H0fixed675,DES_Dovekie_raw:IDSURVEY_150,survey,0.025,-0.03922880746550245,-1.5691522986200979
