ra_deg,dec_deg,z,DH_over_rd,DM_over_rd,kind,l_deg,b_deg
46.08411428571428,10.11068081632653,4.682644024056192e-12,,,BAO,168.34145103311536,-40.759914116605984
32.962942857142856,7.2319453061224515,4.752322379751472e-12,,,BAO,155.35454868522476,-50.50798773762511
34.56308571428571,6.9510930612244906,4.950085776374906e-12,,,BAO,157.72766176103087,-49.9634493083954
34.24305714285714,7.02130612244898,5.533015858016118e-12,,,BAO,157.24647090857482,-50.064545671475415
32.64291428571428,7.302158367346939,5.564172432728052e-12,,,BAO,154.86282036346194,-50.59798453631985
46.72417142857143,10.04046775510204,5.7928909499828345e-12,,,BAO,169.03362691066476,-40.40533995403288
33.923028571428574,7.09151918367347,6.311964107766011e-12,,,BAO,156.76322796379665,-50.16340881726536
44.48397142857143,10.251106938775512,6.517894467594864e-12,,,BAO,166.60458587784922,-41.65029124461503
45.12402857142857,10.18089387755102,6.5298400219564895e-12,,,BAO,167.31744650549692,-41.30898368811347
32.32288571428571,7.372371428571429,6.576235848685889e-12,,,BAO,154.3692020617504,-50.68565774896528
43.84391428571429,10.32132,7.048384627217492e-12,,,BAO,165.8834354721856,-41.98599080110593
45.76408571428571,10.11068081632653,7.112342554827352e-12,,,BAO,168.0220657751313,-40.962190058331075
33.603,7.1617322448979595,7.339904292911563e-12,,,BAO,156.27796496199753,-50.260020590632095
35.20314285714286,6.880880000000001,7.347972583841411e-12,,,BAO,158.62692163433087,-49.69480172448515
32.002857142857145,7.44258448979592,7.811380140745878e-12,,,BAO,153.87373261286578,-50.77099039053967
34.883114285714285,6.9510930612244906,8.191254120154559e-12,,,BAO,158.1504546447135,-49.800052641228476
46.40414285714285,10.04046775510204,8.421407495781319e-12,,,BAO,168.71849888167793,-40.61003084459916
33.28297142857143,7.2319453061224515,8.689792366564288e-12,,,BAO,155.79071528909196,-50.35436306288501
31.682828571428573,7.51279755102041,9.27058339487546e-12,,,BAO,153.37645219560292,-50.853965767358204
34.56308571428571,7.02130612244898,9.333034269391728e-12,,,BAO,157.67188716494977,-49.90310863809298
32.962942857142856,7.302158367346939,1.0451226689912476e-11,,,BAO,155.30151368220865,-50.44641854466702
44.803999999999995,10.18089387755102,1.0663865387067652e-11,,,BAO,166.99151514267487,-41.50763214518922
47.0442,9.970254693877552,1.0792202151141503e-11,,,BAO,169.40680733224792,-40.252625019655795
34.24305714285714,7.09151918367347,1.0862251102508759e-11,,,BAO,157.19124854661533,-50.00395123418267
31.3628,7.583010612244899,1.0927417764569124e-11,,,BAO,152.87740232641173,-50.93456749017844
44.16394285714286,10.251106938775512,1.110627621989056e-11,,,BAO,166.27429145898498,-41.84637700722739
45.44405714285715,10.11068081632653,1.1107632049251008e-11,,,BAO,167.7004595333826,-41.163341202035184
35.52317142857142,6.880880000000001,1.1829787621622168e-11,,,BAO,159.04403856567467,-49.527775243233194
43.52388571428571,10.32132,1.2471888237169824e-11,,,BAO,165.54874321250696,-42.17945302440586
46.08411428571428,10.04046775510204,1.25743104759194e-11,,,BAO,168.4011769144292,-40.81362553952531
32.64291428571428,7.372371428571429,1.2724085607094691e-11,,,BAO,154.81039622856252,-50.53616959890814
33.923028571428574,7.1617322448979595,1.2897667828738639e-11,,,BAO,156.70856947697376,-50.10256215009178
35.20314285714286,6.9510930612244906,1.3431112584172109e-11,,,BAO,158.57021730111245,-49.63494509081049
46.72417142857143,9.970254693877552,1.5432718998646317e-11,,,BAO,169.093726112513,-40.458605033879984
34.883114285714285,7.02130612244898,1.558606991614233e-11,,,BAO,158.09427908319728,-49.73993996520614
33.603,7.2319453061224515,1.5610823305227282e-11,,,BAO,156.22388198264844,-50.198923320542576
32.32288571428571,7.44258448979592,1.5627983292477074e-11,,,BAO,154.31740036254797,-50.62359905382317
45.12402857142857,10.11068081632653,1.783682707071984e-11,,,BAO,167.37661647111568,-41.36335336560491
44.48397142857143,10.18089387755102,1.7895712427964948e-11,,,BAO,166.66332156171688,-41.70511223399803
34.56308571428571,7.09151918367347,1.8481823165535713e-11,,,BAO,157.6162519495069,-49.842741284366284
