model,theta,chi2,posterior_weight
PATH_GAMMA2P3,0.659289226689876,2141.9185050612887,6.306348858665452e-11
PATH_GAMMA2P3,0.6595256301275766,2141.7977767283887,6.698750709529852e-11
PATH_GAMMA2P3,0.6597620335652772,2141.6772531832044,7.114840546077619e-11
PATH_GAMMA2P3,0.6599984370029778,2141.55693441768,7.55600191515664e-11
PATH_GAMMA2P3,0.6602348404406784,2141.4368204237676,8.023696292514073e-11
PATH_GAMMA2P3,0.6604712438783789,2141.316911193431,8.519467298407161e-11
PATH_GAMMA2P3,0.6607076473160794,2141.1972067186125,9.044945131274433e-11
PATH_GAMMA2P3,0.66094405075378,2141.077706991279,9.601851229616584e-11
PATH_GAMMA2P3,0.6611804541914806,2140.958412003371,1.0192003174051375e-10
PATH_GAMMA2P3,0.6614168576291812,2140.839321746857,1.0817319840317508e-10
PATH_GAMMA2P3,0.6616532610668817,2140.720436213675,1.147982681646161e-10
PATH_GAMMA2P3,0.6618896645045823,2140.601755395794,1.218166209585954e-10
PATH_GAMMA2P3,0.6621260679422829,2140.4832792851594,1.2925082060656932e-10
PATH_GAMMA2P3,0.6623624713799835,2140.365007873724,1.3712467768499394e-10
PATH_GAMMA2P3,0.6625988748176841,2140.246941153453,1.4546331557770257e-10
PATH_GAMMA2P3,0.6628352782553846,2140.129079116281,1.542932398678381e-10
PATH_GAMMA2P3,0.6630716816930852,2140.011421754182,1.6364241121764825e-10
PATH_GAMMA2P3,0.6633080851307858,2139.8939690591023,1.7354032192021747e-10
PATH_GAMMA2P3,0.6635444885684864,2139.7767210229945,1.8401807628036119e-10
