model,theta,posterior_weight,high_z_chi2,high_z_logpdf,PantheonPlusSH0ES_chi2,PantheonPlusSH0ES_logpdf,DES_Dovekie_raw_chi2,DES_Dovekie_raw_logpdf,Union3p1_UNITY1p8_chi2,Union3p1_UNITY1p8_logpdf
PATH_GAMMA2P3,0.7375387645687652,0.00011455051879625896,951.7300461691004,206.87197554015341,144.184250607438,96.13844134297943,795.5973787915874,88.63675287005196,11.94841677007502,22.096781327122013
PATH_GAMMA2P3,0.7377751680064657,0.00011764920206016339,951.6479816423674,206.91300780351978,144.15303794142798,96.15404767598443,795.5619684317656,88.65445804996273,11.932975269173813,22.104502077572615
PATH_GAMMA2P3,0.7380115714441663,0.00012081949614366466,951.5662545884406,206.95387133048322,144.1219185415818,96.1696073759075,795.5267396034576,88.67207246411681,11.917596443401216,22.11219149045891
PATH_GAMMA2P3,0.7382479748818669,0.00012406268183991293,951.4848649844376,206.99456613248472,144.09089240128168,96.18512044605757,795.4916922951018,88.68959611829473,11.902280288054165,22.119849568132434
PATH_GAMMA2P3,0.7384843783195675,0.0001273800520341842,951.4038128074758,207.03509222096568,144.05995951390423,96.20058688974632,795.4568264951447,88.70702901827326,11.88702679842682,22.12747631294611
PATH_GAMMA2P3,0.7387207817572681,0.000130772911500383,951.3230980346701,207.0754496073685,144.02911987283022,96.2160067102833,795.4221421920203,88.72437116983554,11.871835969819681,22.135071727249677
PATH_GAMMA2P3,0.7389571851949686,0.0001342425766848555,951.242720643138,207.11563830313457,143.9983734714366,96.23137991098014,795.3876393741759,88.74162257875764,11.856707797525473,22.142635813396783
PATH_GAMMA2P3,0.7391935886326692,0.00013779037548288347,951.1626806100027,207.1556583197022,143.96772030310518,96.24670649514587,795.3533180300523,88.75878325081942,11.841642276845201,22.150168573736916
PATH_GAMMA2P3,0.7394299920703697,0.0001414176469977744,951.0829779123706,207.19550966851827,143.9371603612121,96.26198646609237,795.3191781480859,88.77585319180264,11.826639403072516,22.15767001062326
PATH_GAMMA2P3,0.7396663955080703,0.0001451257412936805,951.0036125273655,207.23519236102084,143.90669363913702,96.2772198271299,795.2852197167224,88.79283240748441,11.811699171505957,22.165140126406538
PATH_GAMMA2P3,0.7399027989457709,0.00014891601913038054,950.9245844320988,207.27470640865414,143.87632013025757,96.29240658156965,795.2514427244031,88.809720903644,11.796821577438045,22.172578923440494
PATH_GAMMA2P3,0.7401392023834714,0.00015278985168944422,950.8458936036883,207.31405182285945,143.84603982795468,96.30754673272111,795.2178471595627,88.82651868606433,11.782006616171028,22.179986404074004
PATH_GAMMA2P3,0.740375605821172,0.0001567486202892082,950.7675400192545,207.35322861507632,143.81585272560443,96.32264028389625,795.1844330106536,88.84322576051875,11.767254282996404,22.187362570661318
PATH_GAMMA2P3,0.7406120092588726,0.00016079371608245335,950.6895236559085,207.3922367967493,143.78575881658784,96.3376872384045,795.1512002661075,88.85984213279187,11.752564573213169,22.194707425552938
PATH_GAMMA2P3,0.7408484126965731,0.00016492653974562542,950.611844490772,207.43107637931757,143.75575809428133,96.35268759955778,795.1181489143726,88.87636780865932,11.737937482118099,22.20202097110047
PATH_GAMMA2P3,0.7410848161342738,0.00016914850115204487,950.5345025009527,207.46974737422718,143.72585055206414,96.36764137066638,795.0852789438823,88.89280279390448,11.723373005006383,22.20930320965633
PATH_GAMMA2P3,0.7413212195719743,0.00017346101903580448,950.4574976635737,207.50824979291673,143.6960361833143,96.3825485550413,795.0525903430848,88.9091470943032,11.708871137174556,22.216554143572242
PATH_GAMMA2P3,0.7415576230096749,0.00017786552063716528,950.3808299557494,207.5465836468289,143.66631498141055,96.39740915599316,795.0200831004181,88.92540071563656,11.694431873920683,22.22377377519918
PATH_GAMMA2P3,0.7417940264473755,0.00018236344134107716,950.3044993545923,207.58474894740743,143.63668693973034,96.41222317683327,794.9877572043226,88.94156366368429,11.680055210539278,22.23096210688988
PATH_GAMMA2P3,0.742030429885076,0.00018695622429692205,950.2285058372181,207.62274570609452,143.60715205165337,96.42699062087172,794.9556126432396,88.95763594422579,11.665741142325015,22.23811914099701
PATH_GAMMA2P3,0.7422668333227767,0.00019164532002700143,950.1528493807509,207.66057393432808,143.57771031055728,96.44171149141982,794.9236494056152,88.97361756303803,11.651489664578591,22.245244879870224
