scenario,galaxy,group,matched_candidate,N_points,delta_profile_objective_plamb_minus_rar,delta_data_objective_plamb_minus_rar,rar_profile_objective,plamb_profile_objective,rar_distance_pull,plamb_distance_pull,rar_disk_ml_multiplier,plamb_disk_ml_multiplier,rar_bulge_ml_multiplier,plamb_bulge_ml_multiplier,rar_delta_inc_deg,plamb_delta_inc_deg,rar_gas_multiplier,plamb_gas_multiplier,both_optimisers_succeeded
distance_floor_10pct,UGC05253,matched_control,UGC06787,73,1.917066149797904,1.9575424900843643,138.19968787162782,140.11675402142572,0.005089951992435891,0.04370294651224628,1.0911279564336671,1.0729543861527842,1.0911279564336671,1.0729543861527842,0.0,0.0,1.0,1.0,True
distance_floor_10pct,UGC06786,matched_control,UGC09133,45,0.1424786438497989,0.9458527120000895,51.26109117622177,51.40356982007157,2.954857226199903,2.8925593321119543,0.5185458336540255,0.5296761519131246,0.5185458336540255,0.5296761519131246,0.0,0.0,1.0,1.0,True
distance_floor_10pct,UGC06787,candidate,UGC06787,71,-3.0228005568793606,-2.9970849633083105,282.7634029084662,279.74060235158686,3.727071580464883,3.723620143400498,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.0,0.0,1.0,1.0,True
distance_floor_10pct,UGC08699,matched_control,UGC03580,41,0.03597308634695651,0.02292134105855581,25.515957396621754,25.55193048296871,0.4604844551406601,0.4801284201830053,1.0205362408257723,1.0086473437724244,1.0205362408257723,1.0086473437724244,0.0,0.0,1.0,1.0,True
distance_floor_10pct,UGC09133,candidate,UGC09133,68,12.151033647076815,12.234189259762502,199.44680301348555,211.59783666056236,-1.6874883660442808,-1.696796187018126,1.5433249594992473,1.5305117461546338,1.5433249594992473,1.5305117461546338,0.0,0.0,1.0,1.0,True
distance_published_frame,NGC2903,candidate,NGC2903,34,6.217997507465157,5.8035484358527185,217.63684399706722,223.85484150453237,1.9233008524000317,1.925006762748471,0.4177022063985028,0.41169713242105116,0.4177022063985028,0.41169713242105116,0.0,0.0,1.0,1.0,True
distance_published_frame,NGC3521,matched_control,NGC2903,41,-0.25302177280865834,-0.7778196714718106,18.712394896380403,18.459373123571744,0.9198062724859828,0.9785950399807694,0.7500344675569528,0.7192954421921911,0.7500344675569528,0.7192954421921911,0.0,0.0,1.0,1.0,True
distance_published_frame,NGC4559,matched_control,NGC2903,32,-0.004381884165047367,-0.023072263118166347,10.591871409641318,10.58748952547627,-0.5796158386794973,-0.5813482784233729,0.9410145864916307,0.9334778680910404,0.9410145864916307,0.9334778680910404,0.0,0.0,1.0,1.0,True
distance_published_frame,NGC5033,matched_control,NGC5985,22,5.600850781816732,5.601432404402743,97.41855772664246,103.0194085084592,0.49796116346411023,0.49815747593672277,1.0070102684872824,0.999522375963527,1.0070102684872824,0.999522375963527,0.0,0.0,1.0,1.0,True
distance_published_frame,NGC5985,candidate,NGC5985,33,-3.68971114519951,-3.7227547133625194,423.5319836967402,419.8422725515407,-0.5142943278603337,-0.5454743108821047,2.718281828459045,2.718281828459045,2.718281828459045,2.718281828459045,0.0,0.0,1.0,1.0,True
distance_published_frame,NGC6195,matched_control,UGC09133,23,-1.6657486262378711,-1.5878464899466564,107.73920176246895,106.07345313623108,-4.0,-4.0,1.592862793368768,1.5845078034345912,1.592862793368768,1.5845078034345912,0.0,0.0,1.0,1.0,True
distance_published_frame,NGC6674,matched_control,UGC02487,15,-2.399822823831933,-2.779123944225489,65.64872503368669,63.248902209854755,-0.9994852186940681,-1.0644457037364738,2.033633353463125,2.055541405378661,2.033633353463125,2.055541405378661,0.0,0.0,1.0,1.0,True
distance_published_frame,UGC02487,candidate,UGC02487,17,0.5312322790275488,0.6569381109544103,38.986505469431826,39.517737748459375,0.3364137515025507,0.32958401948988997,1.9556826275533608,1.9446277797437386,1.9556826275533608,1.9446277797437386,0.0,0.0,1.0,1.0,True
distance_published_frame,UGC02885,matched_control,UGC02487,19,-0.5732275601149865,-0.48313076157596413,39.27100721909319,38.697779658978206,-0.6586287260292172,-0.6613208958402564,1.492617020608576,1.481650019899533,1.492617020608576,1.481650019899533,0.0,0.0,1.0,1.0,True
distance_published_frame,UGC02916,matched_control,UGC06787,43,2.1899285529851795,1.74594896580885,227.44329027878916,229.63321883177434,1.30719367440914,1.41917827326046,0.7913922408459232,0.7773978656876094,0.7913922408459232,0.7773978656876094,0.0,0.0,1.0,1.0,True
distance_published_frame,UGC03205,matched_control,NGC5985,48,-0.9352715078034066,-0.571521790462981,174.70410956013856,173.76883805233516,-0.8356789752170138,-0.8070394892182106,1.8089187844650183,1.7785349636774967,1.8089187844650183,1.7785349636774967,0.0,0.0,1.0,1.0,True
distance_published_frame,UGC03546,matched_control,UGC03580,30,0.5943459633755115,0.3922020988540478,13.772638325801681,14.366984289177193,0.9794514811245361,1.0015371520081295,0.7165207388907654,0.7061836354126207,0.7165207388907654,0.7061836354126207,0.0,0.0,1.0,1.0,True
distance_published_frame,UGC03580,candidate,UGC03580,47,-2.7060357144102767,-2.689097562538606,97.6470361204741,94.94100040606382,0.9636096177103253,0.9547802592597788,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.0,0.0,1.0,1.0,True
distance_published_frame,UGC05253,matched_control,UGC06787,73,1.953081767353126,1.9591137387955087,138.41746397548002,140.37054574283314,0.4635522363943107,0.5024428847176413,1.0931941820905202,1.074882558460934,1.0931941820905202,1.074882558460934,0.0,0.0,1.0,1.0,True
distance_published_frame,UGC06786,matched_control,UGC09133,45,0.08472044593423078,0.9374551951530137,54.21798666531058,54.302707111244814,3.4094466474760035,3.3474287852212763,0.5206599047301697,0.5317661362354842,0.5206599047301697,0.5317661362354842,0.0,0.0,1.0,1.0,True
distance_published_frame,UGC06787,candidate,UGC06787,71,-5.625528955674326,-5.633634724652893,301.3976092904165,295.77208033474216,4.0,4.0,0.3956781291164313,0.395570057654103,0.3956781291164313,0.395570057654103,0.0,0.0,1.0,1.0,True
distance_published_frame,UGC08699,matched_control,UGC03580,41,0.05463117740903556,0.02499244822483604,26.150864246304288,26.205495423713323,0.9062910239996071,0.9268136706111134,1.027082825972673,1.0147797843481314,1.027082825972673,1.0147797843481314,0.0,0.0,1.0,1.0,True
distance_published_frame,UGC09133,candidate,UGC09133,68,12.140334029337396,12.235935678494513,197.82013411755372,209.96046814689112,-1.1104613158173866,-1.119557282586806,1.5452133327602777,1.5322830514583308,1.5452133327602777,1.5322830514583308,0.0,0.0,1.0,1.0,True
distance_student_t3,NGC2903,candidate,NGC2903,34,6.215824661015631,5.811944166367198,216.24965195057575,222.46547661159138,1.5491152277313613,1.550180003772304,0.41512311074250924,0.4092884729419038,0.41512311074250924,0.4092884729419038,0.0,0.0,1.0,1.0,True
