model,latent,galaxy,fraction_abs_ge_3p8,fraction_abs_ge_3p8_divergent,fraction_abs_ge_3p8_nondivergent,posterior_mean,posterior_sd,posterior_q01,posterior_q99
RAR,z_logeta,NGC0024,0.06375,0.3333333333333333,0.06364886832562211,3.2937435455698014,0.3399343653882113,2.4329679675192666,3.941211781310681
RAR,z_logeta,NGC0055,0.04825,0.0,0.04826810053770164,-2.868104098894236,0.5858398137815025,-3.9536156341964617,-1.4887250147539353
RAR,z_logeta,NGC0100,0.005375,0.0,0.005377016381142929,-1.845564239064037,0.8698932234055299,-3.7062383629054088,0.22033324107743377
RAR,z_logeta,NGC0247,0.0,0.0,0.0,0.7131957410316057,0.409496757242053,-0.2445737336967931,1.6690000141631056
RAR,z_logeta,NGC0289,0.0,0.0,0.0,1.6225185702504956,0.3975090057113605,0.6968226195160866,2.542359777084318
RAR,z_logeta,NGC0300,0.0,0.0,0.0,0.8465606119991373,0.420202324531596,-0.12426589348651482,1.814853329333911
RAR,z_logeta,NGC0801,0.0,0.0,0.0,0.46849857612012796,0.1480144836113841,0.10233202076422683,0.795248884601553
RAR,z_logeta,NGC0891,0.0,0.0,0.0,-1.6761651283840315,0.1952184775978713,-2.0686483456647466,-1.1693197505673667
RAR,z_logeta,NGC1003,0.0,0.0,0.0,-1.9706079815526163,0.43416490613778697,-2.9952103043194005,-0.9654348182249946
RAR,z_logeta,NGC1090,0.0,0.0,0.0,0.9536122791039288,0.45379143558057633,-0.09592508282039103,2.0041752633188135
RAR,z_logeta,NGC2403,0.0,0.0,0.0,-0.6113599920691669,0.12757317109787836,-0.9010680853449368,-0.30308444915954835
RAR,z_logeta,NGC2683,0.0,0.0,0.0,0.3332413853717505,0.3184825995577616,-0.3984866930275318,1.0684002676465887
RAR,z_logeta,NGC2841,0.0,0.0,0.0,0.9344500093913314,0.18712707494658815,0.5160025936791628,1.3708592146764396
RAR,z_logeta,NGC2915,0.257375,0.6666666666666666,0.25722145804676755,3.561643832035293,0.3036774938739757,2.7146007474452927,3.992438667846063
RAR,z_logeta,NGC2955,0.0,0.0,0.0,0.7501820346873365,0.3144064399450076,-0.011859888128509133,1.4042058144134641
RAR,z_logeta,NGC2976,0.0,0.0,0.0,-0.7359237115157807,0.4059642558007435,-1.6597139116204407,0.1751495522958502
RAR,z_logeta,NGC2998,0.0,0.0,0.0,1.2119377755771998,0.5068899962616129,0.021589821996269763,2.375115720352565
RAR,z_logeta,NGC3109,0.0,0.0,0.0,0.8036637049706573,0.8121515136807395,-1.194384166093801,2.6626892494368173
RAR,z_logeta,NGC3198,0.0,0.0,0.0,1.0213335253954807,0.2554405193852104,0.42276589546856647,1.6078400588297006
