mock_id,target,z_lo,z_hi,n_bcuts,N_min,N_max,amp_mean,amp_min,amp_max,amp_cv,snr_max,snr_mean,max_pair_direction_sep_deg,mean_resultant_length,coherence_score
17,broad_0p95_1p45,0.95,1.45,6,95161,192357,0.0017145854368990842,0.0007067008776508292,0.0036856364141549334,0.6933799887614831,2.2637705843345923,1.3506736758537556,122.4434112760422,0.6323321270344886,0.3846999329568996
17,narrow_1p15_1p35,1.15,1.35,6,37646,76060,0.0007294663465078945,0.0005107368337329135,0.0012073877042654728,0.30775511285436963,1.969256359536912,1.6861954569975508,77.39478711532867,0.8739811439948254,0.6327817016728345
18,broad_0p95_1p45,0.95,1.45,6,95542,192357,0.0013543705479335422,0.0010568861790714427,0.00181918862693223,0.18535796139628094,1.8253029128209697,1.480913788977008,128.7289734468536,0.5918422440234673,0.27982155637652195
18,narrow_1p15_1p35,1.15,1.35,6,37822,76060,0.0008662912507245338,0.0003896913640333701,0.0023411368730740885,0.7711005321474131,1.872195543348554,1.0534735459419258,107.56635787813826,0.754869522553696,0.4168471470483574
19,broad_0p95_1p45,0.95,1.45,6,95391,192357,0.0019217635672618607,0.0011706544465935292,0.0027934289836038066,0.2819987024806962,3.1309713895795523,2.0587357742814985,23.06217926509653,0.989133289388412,2.0475785940853637
19,narrow_1p15_1p35,1.15,1.35,6,37711,76060,0.0018093769368364493,0.0012657424742460461,0.0028282993597253687,0.3621274179701548,3.3856350078728408,2.685792651310379,30.936308759353903,0.9816201270748489,1.9694575420240146
20,broad_0p95_1p45,0.95,1.45,6,95293,192357,0.0021581553087255787,0.0007728834389787365,0.0030094143508682335,0.3396264379312115,2.030683634634015,1.7817334113060301,57.29203056552437,0.9419237992447678,0.8414508492311479
20,narrow_1p15_1p35,1.15,1.35,6,37983,76060,0.0008749178584057382,0.0004101753645851114,0.0013215921521125824,0.37134198348585695,2.220764569186996,1.4927331940228061,114.10135349633521,0.8139424278195239,0.5112517960418077
21,broad_0p95_1p45,0.95,1.45,6,95665,192357,0.0016750667547896657,0.0009161101615355518,0.0027339749025908,0.3356002737285089,2.040698956963643,1.4925423864205942,48.74678977219161,0.9395635992042969,0.9203674149274027
21,narrow_1p15_1p35,1.15,1.35,6,37519,76060,0.002305354470949731,0.0014346278708916443,0.0037365032606917403,0.32957564970789943,4.144966214812604,3.7563055982603033,44.026233592919766,0.9689168148899169,2.0300278752339307
22,broad_0p95_1p45,0.95,1.45,6,95455,192357,0.0009857381692328373,0.0007354237386164821,0.0011149256293349575,0.1379541941621924,1.8522433606051418,1.5933982933813535,103.97264269615845,0.7570746816493714,0.4235871346810425
22,narrow_1p15_1p35,1.15,1.35,6,37981,76060,0.000532241021219943,0.00027457591457352276,0.0009763354673500923,0.4311406816799804,1.1343886705418846,0.9600246881997748,156.14544383052325,0.567657410421005,0.1440623537329446
23,broad_0p95_1p45,0.95,1.45,6,95299,192357,0.0014225594877977832,0.0008671026798515375,0.0026053349292202506,0.40556660703230046,1.9816436188341127,1.8111181631038662,100.06463020891154,0.7472876339858402,0.4593717959609288
23,narrow_1p15_1p35,1.15,1.35,6,37703,76060,0.0012482092223024405,0.0005125941894753611,0.0023607588277118207,0.4641753323342427,2.225835508841888,1.6683931172466533,36.25183714487338,0.9772882051903169,1.2047447659834196
24,broad_0p95_1p45,0.95,1.45,6,95498,192357,0.002246103511683055,0.0018755356192566809,0.0024323896420057173,0.0867781085577314,2.8645473710975775,2.310934044984697,46.65235925203462,0.9702844405474093,1.3646583620228723
24,narrow_1p15_1p35,1.15,1.35,6,37659,76060,0.0008238497030487205,0.0005348965059194365,0.0011432774618103927,0.2243420724912006,1.617658774925872,1.2918159733303516,71.67613946623321,0.9103042601483549,0.5679419600769369
25,broad_0p95_1p45,0.95,1.45,6,95521,192357,0.0017912998170889758,0.0014530498422825869,0.002205567141353002,0.15268704819656115,3.4575433425949655,2.1634716669895018,24.24637929312207,0.9885102021163293,2.2210801582506674
25,narrow_1p15_1p35,1.15,1.35,6,37626,76060,0.0006704391334059305,0.0003889683453994683,0.0010160485526230138,0.3931734047321944,1.3265676661637689,1.1288985565905432,123.48296863420356,0.7843686958555759,0.2779112757915978
