Galaxy,scenario,N_points,rar_success,plamb_success,rar_profile_objective,plamb_profile_objective,delta_objective_plamb_minus_rar,delta_objective_per_point,signed_log1p_delta_per_point
F571-8,combined_conventional,13,True,True,86.84368367936875,85.59630625204571,-1.2473774273230447,-0.09595210979408036,-0.09162349212779276
F583-1,combined_conventional,25,True,True,13.28837017480838,13.114790334393335,-0.17357984041504437,-0.006943193616601775,-0.006919200642358494
F583-4,combined_conventional,12,True,True,0.8744001300960373,0.9076817713580415,0.03328164126200417,0.002773470105167014,0.0027696311334988633
KK98-251,combined_conventional,15,True,True,4.384420320108742,4.425968161002089,0.0415478408933474,0.002769856059556493,0.0027660270771183554
NGC0024,combined_conventional,29,True,True,9.072292797253267,8.892997574724795,-0.17929522252847185,-0.006182593880292133,-0.006163560058719879
NGC0100,combined_conventional,21,True,True,5.654148905019578,5.649396988925812,-0.004751916093765907,-0.00022628171875075745,-0.00022625612090411407
NGC0289,combined_conventional,28,True,True,20.617245572456504,21.075829445794064,0.45858387333755957,0.016377995476341414,0.0162453227572061
NGC0891,combined_conventional,18,True,True,40.075779666542054,40.93576958178509,0.8599899152430339,0.047777217513501884,0.046670984592303566
NGC1003,combined_conventional,36,True,True,14.277831076416886,13.756617062045201,-0.5212140143716848,-0.014478167065880133,-0.014374359170814461
NGC1090,combined_conventional,24,True,True,21.327819617104957,21.437356521917238,0.10953690481228051,0.004564037700511688,0.004553654062668299
NGC2683,combined_conventional,11,True,True,10.41597556124953,10.620829899206708,0.2048543379571779,0.018623121632470718,0.0184518346339384
NGC2998,combined_conventional,13,True,True,20.57797143476358,20.432074550321715,-0.14589688444186422,-0.011222837264758785,-0.011160328475804634
NGC3198,combined_conventional,43,True,True,10.950801519128673,11.313227705219596,0.36242618609092325,0.008428515955602867,0.008393194348701715
NGC3521,combined_conventional,41,True,True,7.839253433686213,7.704891117656213,-0.1343623160300007,-0.00327712965926831,-0.003271771572771309
NGC3726,combined_conventional,12,True,True,12.136644275676089,11.933118084092662,-0.20352619158342655,-0.016960515965285545,-0.016818292286482985
NGC3769,combined_conventional,12,True,True,4.03775711468243,4.214693194453382,0.17693607977095205,0.014744673314246004,0.014637027463911576
NGC3877,combined_conventional,13,True,True,36.83449301941119,36.915279622831044,0.08078660341985255,0.006214354109219427,0.006195124635441844
NGC3893,combined_conventional,10,True,True,6.2611956740064025,6.640604985246305,0.3794093112399022,0.03794093112399022,0.03723887669285583
NGC3917,combined_conventional,17,True,True,11.813194032503395,11.812364179804856,-0.0008298526985388577,-4.88148646199328e-05,-4.8813673213200953e-05
NGC3949,combined_conventional,7,True,True,1.7706187905996376,1.8335284557314508,0.06290966513181329,0.008987095018830469,0.008946951417362127
NGC3953,combined_conventional,8,True,True,5.362783035820127,5.190212219179581,-0.17257081664054574,-0.021571352080068218,-0.021341983134768483
